,鄉鎮市區,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,總價元,單價每平方公尺
57,北投區,78.55,2,2,8450000,107575
58,松山區,46.75,1,1,8600000,183957
59,信義區,141.42,4,2,16800000,118795
60,松山區,107.07,3,2,20450000,190997
61,信義區,88.65,3,2,14600000,164693
62,松山區,114.91,3,2,27380000,238273
63,南港區,293.2,0,0,68800000,234652
64,南港區,293.2,0,0,69500000,237040
65,北投區,117.31,3,2,12000000,102293
66,士林區,117.54,0,0,75120000,639102
67,士林區,222.84,0,0,349880000,1570095
68,內湖區,110.57,3,2,14580000,131862
69,中山區,63.97,2,2,8880000,138815
70,松山區,50.47,0,0,15900000,315039
71,內湖區,53.38,2,2,13000000,243537
72,中正區,53.71,1,1,13150000,244833
73,文山區,118.24,3,2,13400000,113329
74,文山區,43.7,1,1,5940000,135927
75,中正區,28.66,1,1,4800000,167481
76,大同區,45.06,1,2,2614093,58014
77,大同區,259.73,2,2,12000000,46204
78,中正區,36.45,1,0,8600000,235940
79,文山區,225.57,3,2,54580000,241965
80,萬華區,93.24,3,1,7000000,75075
81,萬華區,121.77,3,2,21500000,176562
82,中正區,107.83,0,0,10211111,94696
83,萬華區,15.24,0,0,1550000,101706
84,中山區,210.13,2,2,47560000,226336
85,內湖區,105.13,3,2,16000000,152193
86,中山區,51.73,2,1,9650000,186546
87,內湖區,99.34,3,2,13000000,130864
88,中山區,70.93,1,1,11300000,159312
89,大安區,137.33,2,2,38000000,276706
90,大安區,123.24,3,2,14500000,117657
91,大安區,100.61,2,2,21000000,208727
92,大安區,103.03,3,1,20900000,202854
93,大安區,40.28,1,1,11500000,285501
94,大安區,108.05,3,2,21000000,194354
95,北投區,72.03,3,2,3210300,44575
96,大同區,91.44,2,2,6000000,65617
97,內湖區,98.03,3,2,10260000,104662
98,中山區,37.88,1,1,6785000,179118
99,中正區,83.6,2,2,16880000,201914
100,文山區,146.9,3,2,21580000,146903
101,士林區,53.76,1,2,17380000,323289
102,北投區,113.45,5,0,13880000,122345
103,大安區,18.91,0,0,869000,45955
104,大安區,50.27,1,1,11300000,224786
105,大安區,262.32,6,1,65000000,247789
106,大安區,149.32,4,1,40000000,267881
107,大安區,86.65,2,1,12180000,140565
108,大安區,30.68,1,0,7000000,228162
109,中山區,80.04,1,1,7900000,98701
110,中山區,119.09,3,2,21400000,179696
111,中山區,30.52,1,1,6750000,221166
112,中山區,122.53,3,2,27280000,222639
113,中山區,136.67,3,2,31580000,231068
114,大同區,9.49,3,1,640560,67498
115,文山區,90.03,2,2,11600000,128846
116,中山區,84.22,0,0,20000000,237473
117,中山區,38.34,1,1,10800000,281690
118,中山區,49.88,1,1,7800000,156375
119,信義區,65.7,4,2,13000000,197869
120,信義區,109.22,3,2,7200000,65922
121,松山區,266.74,0,1,55917962,209635
122,南港區,103.8,3,2,14000000,134875
123,信義區,108.55,3,2,21000000,193441
124,南港區,50.2,1,1,9600000,191235
125,信義區,78.38,5,0,14600000,186272
126,松山區,128.75,4,2,23500000,182524
127,信義區,122.36,3,2,26500000,216574
128,信義區,112.07,4,4,24300000,216829
129,松山區,134.06,3,2,24700000,184232
